player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,player_name
715683,2024-06-30,23/24,2464,1244,Barça Atlètic,CD Leganés,0.0,500000.0,Naim García
716276,2024-06-30,23/24,1050,543,Villarreal,Wolves,0.0,6000000.0,Yerson Mosquera
720038,2024-06-30,23/24,12321,131,Girona,Barcelona,0.0,3000000.0,Pablo Torre
724529,2024-06-30,23/24,54189,6945,RWDM,Palace U21,0.0,800000.0,Tayo Adaramola
725912,2024-06-30,23/24,1496,62,Pardubice,Slavia Praha,0.0,1800000.0,Antonín Kinský
729814,2024-06-30,23/24,347,610,FC Metz,Ajax,0.0,15000000.0,Georges Mikautadze
741238,2024-06-30,23/24,677,631,Ipswich,Chelsea,0.0,7000000.0,Omari Hutchinson
741257,2024-06-30,23/24,10958,28870,Milan U19,Real Madrid U19,0.0,4000000.0,Álex Jiménez
742201,2024-06-30,23/24,1108,13,Alavés,Atlético,0.0,3000000.0,Giuliano Simeone
742770,2024-06-30,23/24,10004,11204,Paris FC,Stade Reims B,0.0,300000.0,Mohamed Touré
743589,2024-06-30,23/24,1532,3302,Albacete,UD Almería,0.0,2000000.0,Kaiky
743591,2024-06-30,23/24,12321,1095,Girona,Troyes,0.0,50000000.0,Savinho
748319,2024-06-30,23/24,506,180,Juventus,Southampton,0.0,15000000.0,Carlos Alcaraz
785967,2024-06-30,23/24,13222,12321,CD Mirandés,Girona,0.0,500000.0,Ibrahima Kébé
811778,2024-06-30,23/24,294,985,Benfica,Man Utd,0.0,7000000.0,Álvaro Carreras
816124,2024-06-30,23/24,543,583,Wolves,Paris SG,0.0,500000.0,Noha Lemina
817665,2024-06-30,23/24,2995,3329,Paços Ferreira,Famalicão,0.0,400000.0,Pablo
818237,2024-06-30,23/24,12405,12124,Real Unión,Aston Villa U21,0.0,200000.0,Tommi O'Reilly
842341,2024-06-30,23/24,1132,969,Burnley,Montpellier,0.0,7000000.0,Maxime Estève
848509,2024-06-30,23/24,276,172,Hellas Verona,R Charleroi SC,0.0,3000000.0,Jackson Tchatchoua
857830,2024-06-30,23/24,13222,8494,CD Mirandés,RCD Mallorca B ,0.0,300000.0,Daniel Luna
864121,2024-06-30,23/24,1003,336,Leicester,Sporting,0.0,10000000.0,Abdul Fatawu
875929,2024-06-30,23/24,12405,12124,Real Unión,Aston Villa U21,0.0,500000.0,Josh Feeney
880245,2024-06-30,23/24,1465,336,Estoril,Sporting,0.0,8000000.0,Mateus Fernandes
882772,2024-06-30,23/24,21322,11669,Sanluqueño,Cádiz B,0.0,300000.0,Álvaro Bastida
890290,2024-06-30,23/24,12,506,Roma,Juventus,0.0,10000000.0,Dean Huijsen
910905,2024-06-30,23/24,54189,1041,RWDM,Lyon,0.0,1000000.0,Mamadou Sarr
927768,2024-06-30,23/24,2687,221,Cádiz CF,Santos,0.0,2000000.0,Lucas Pires
947431,2024-06-30,23/24,1531,237,Elche CF,RCD Mallorca,0.0,100000.0,David López
949116,2024-06-30,23/24,13702,17686,R. Majadahonda,CD Leganés B,0.0,100000.0,Ro Abajas
953901,2024-06-30,23/24,142,13,Real Zaragoza,Atlético,0.0,1200000.0,Santiago Mouriño
964264,2024-06-30,23/24,38006,16196,Girona FC B,UE Cornellà,0.0,50000.0,Carles Garrido
1012534,2024-06-30,23/24,234,762,Feyenoord,Newcastle,0.0,16000000.0,Yankuba Minteh
1013774,2024-06-30,23/24,11596,3302,Alcorcón,UD Almería,0.0,800000.0,Marciano Sanca
1027993,2024-06-30,23/24,2867,11669,Recr. Huelva,Cádiz B,0.0,300000.0,José Antonio de la Rosa
1034853,2024-06-30,23/24,2865,10004,Betis Deportivo,Paris FC,0.0,1000000.0,Nobel Mendy
1045767,2024-06-30,23/24,18687,897,Atl. Baleares,Dep. La Coruña,0.0,50000.0,Pablo Muñoz
1065256,2024-06-30,23/24,21122,17686,CD Móstoles,CD Leganés B,0.0,,Adrián Rosell
1086619,2024-06-30,23/24,1038,3037,Sampdoria,Padova,0.0,4500000.0,Giovanni Leoni
1123335,2024-06-30,23/24,4054,5648,Orihuela CF,Gimnàstic,0.0,100000.0,Hamza Bellari
1124136,2024-06-30,23/24,13244,70841,Utebo FC,SD Huesca B,0.0,150000.0,Ángel Pérez
490606,2024-06-18,23/24,1092,631,Brommapojkarna,Chelsea,0.0,700000.0,Lucas Bergström
994604,2024-06-01,23/24,68031,2440,Loudoun United,D.C. United,0.0,500000.0,Matai Akinmboni
1005575,2024-06-01,23/24,14807,1023,Palmeiras U20,Palmeiras,,,Vitor Reis
148262,2024-05-31,23/24,1035,762,Sheff Wed,Newcastle,0.0,500000.0,Jeff Hendrick
183293,2024-05-31,23/24,180,989,Southampton,Bournemouth,0.0,2500000.0,Joe Rothwell
214666,2024-05-31,23/24,399,1132,Leeds,Burnley,0.0,7000000.0,Connor Roberts
232964,2024-05-31,23/24,903,989,Hibernian FC,Bournemouth,0.0,1500000.0,Emiliano Marcondes
239949,2024-05-31,23/24,2288,989,Swansea,Bournemouth,0.0,1500000.0,Jamal Lowe
260841,2024-05-31,23/24,512,1003,Stoke City,Leicester,0.0,3000000.0,Daniel Iversen
277033,2024-05-31,23/24,180,989,Southampton,Bournemouth,0.0,8000000.0,David Brooks
297212,2024-05-31,23/24,399,148,Leeds,Tottenham,0.0,8000000.0,Joe Rodon
297257,2024-05-31,23/24,984,371,West Brom,Celtic,0.0,3000000.0,Mikey Johnston
314378,2024-05-31,23/24,6699,1031,Exeter City,Luton,0.0,275000.0,Admiral Muskwe
346478,2024-05-31,23/24,1028,148,Millwall,Tottenham,0.0,1800000.0,Japhet Tanganga
371814,2024-05-31,23/24,603,31,Cardiff,Liverpool,0.0,3500000.0,Nathaniel Phillips
376856,2024-05-31,23/24,1071,1148,Wigan,Brentford,0.0,500000.0,Charlie Goode
433183,2024-05-31,23/24,543,281,Wolves,Man City,0.0,10000000.0,Tommy Doyle
433818,2024-05-31,23/24,698,1132,Bristol City,Burnley,0.0,3000000.0,Scott Twine
444208,2024-05-31,23/24,1028,1132,Millwall,Burnley,0.0,2200000.0,Michael Obafemi
444641,2024-05-31,23/24,1302,543,Northampton,Wolves,0.0,200000.0,Louie Moulden
469064,2024-05-31,23/24,11177,989,Fleetwood,Bournemouth,0.0,300000.0,Gavin Kilkenny
470596,2024-05-31,23/24,355,1148,Bolton,Brentford,0.0,350000.0,Paris Maghoma
484389,2024-05-31,23/24,1071,762,Wigan,Newcastle,0.0,250000.0,Kell Watts
499604,2024-05-31,23/24,3696,1031,Dag & Red FC,Luton,0.0,175000.0,Dion Pereira
503769,2024-05-31,23/24,1112,11,Wrexham,Arsenal,0.0,1800000.0,Arthur Okonkwo
503977,2024-05-31,23/24,180,281,Southampton,Man City,0.0,22000000.0,Taylor Harwood-Bellis
504581,2024-05-31,23/24,3008,1031,Hull City,Luton,0.0,4500000.0,Ryan Giles
504855,2024-05-31,23/24,349,1031,Barnsley FC,Luton,0.0,300000.0,John McAtee
505194,2024-05-31,23/24,641,1003,Middlesbrough,Leicester,0.0,6000000.0,Luke Thomas
505548,2024-05-31,23/24,358,1031,Charlton,Luton,0.0,250000.0,Louie Watson
506189,2024-05-31,23/24,180,379,Southampton,West Ham,0.0,9000000.0,Flynn Downes
506470,2024-05-31,23/24,603,703,Cardiff,Nott'm Forest,0.0,1500000.0,Josh Bowler
507700,2024-05-31,23/24,677,985,Ipswich,Man Utd,0.0,2500000.0,Brandon Williams
520651,2024-05-31,23/24,1211,1237,Port Vale,Brighton,0.0,300000.0,Jensen Weir
532541,2024-05-31,23/24,512,543,Stoke City,Wolves,0.0,5000000.0,Luke Cundle
535927,2024-05-31,23/24,512,1132,Stoke City,Burnley,0.0,3800000.0,Luke McNally
550995,2024-05-31,23/24,1195,24226,Kidderminster,Wolves U21,0.0,,Owen Hesketh
551001,2024-05-31,23/24,511,9252,Dundee FC,Liverpool U21,0.0,1250000.0,Owen Beck
559130,2024-05-31,23/24,2288,9253,Swansea,Newcastle U21,0.0,1200000.0,Harrison Ashby
560694,2024-05-31,23/24,641,703,Middlesbrough,Nott'm Forest,0.0,5000000.0,Lewis O'Brien
561452,2024-05-31,23/24,34888,9267,Salford,West Ham U21,0.0,200000.0,Dan Chesters
568005,2024-05-31,23/24,677,1237,Ipswich,Brighton,0.0,4500000.0,Jeremy Sarmiento
580809,2024-05-31,23/24,1042,39336,Crewe Alexandra,Brighton U21,0.0,400000.0,Ed Turns
581675,2024-05-31,23/24,2455,9250,Bristol Rovers,Chelsea U21,0.0,1500000.0,Harvey Vale
582078,2024-05-31,23/24,2553,989,Kilmarnock FC,Bournemouth,0.0,350000.0,Will Dennis
583199,2024-05-31,23/24,350,281,Sheff Utd,Man City,0.0,12000000.0,James McAtee
587002,2024-05-31,23/24,1020,1148,Portsmouth,Brentford,0.0,700000.0,Myles Peart-Harris
610849,2024-05-31,23/24,3008,9265,Hull City,Man City U21,0.0,8000000.0,Liam Delap
610863,2024-05-31,23/24,991,405,MK Dons,Aston Villa,0.0,800000.0,Filip Marschall
612517,2024-05-31,23/24,2288,9250,Swansea,Chelsea U21,0.0,4800000.0,Bashir Humphreys
614603,2024-05-31,23/24,2805,543,Wycombe,Wolves,0.0,900000.0,Chem Campbell
614700,2024-05-31,23/24,511,1132,Dundee FC,Burnley,0.0,325000.0,Dara Costelloe
618495,2024-05-31,23/24,1074,9252,Tranmere,Liverpool U21,0.0,150000.0,James Norris
633652,2024-05-31,23/24,355,9252,Bolton,Liverpool U21,0.0,4000000.0,Calvin Ramsay
638649,2024-05-31,23/24,1194,350,Rotherham,Sheff Utd,0.0,300000.0,Femi Seriki
646333,2024-05-31,23/24,10391,38967,Eastleigh,Bournemouth U21,0.0,,Ben Greenwood
646353,2024-05-31,23/24,2288,1237,Swansea,Brighton,0.0,3000000.0,Carl Rushworth
649452,2024-05-31,23/24,1031,281,Luton,Man City,0.0,10000000.0,Issa Kaboré
659331,2024-05-31,23/24,3884,6945,AFC Wimbledon,Palace U21,0.0,200000.0,John-Kymani Gordon
667287,2024-05-31,23/24,164,1237,Blackburn,Brighton,0.0,4500000.0,Yasin Ayari
667925,2024-05-31,23/24,1194,12124,Rotherham,Aston Villa U21,0.0,350000.0,Sebastian Revan
670850,2024-05-31,23/24,1110,9250,Huddersfield,Chelsea U21,0.0,1200000.0,Alex Matos
670859,2024-05-31,23/24,2963,8824,Burton Albion,Sheff Utd U21,0.0,500000.0,Antwoine Hackford
670861,2024-05-31,23/24,1071,9252,Wigan,Liverpool U21,0.0,1500000.0,Luke Chambers
696346,2024-05-31,23/24,337,931,Birmingham,Fulham,0.0,3500000.0,Jay Stansfield
696764,2024-05-31,23/24,1020,1123,Portsmouth,Norwich,0.0,600000.0,Abu Kamara
698151,2024-05-31,23/24,3015,9253,Annan Athletic,Newcastle U21,0.0,,Michael Ndiweni
698164,2024-05-31,23/24,2805,9267,Wycombe,West Ham U21,0.0,600000.0,Freddie Potts
706815,2024-05-31,23/24,1042,9252,Crewe Alexandra,Liverpool U21,0.0,500000.0,Harvey Davies
732120,2024-05-31,23/24,3456,9250,Gateshead,Chelsea U21,0.0,250000.0,Eddie Beach
734425,2024-05-31,23/24,1072,54704,Peterborough,Brentford B,0.0,600000.0,Michael Olakigbe
741236,2024-05-31,23/24,2455,1148,Bristol Rovers,Brentford,0.0,800000.0,Matthew Cox
743414,2024-05-31,23/24,2262,405,Plymouth,Aston Villa,0.0,2000000.0,Lino Sousa
747153,2024-05-31,23/24,1211,985,Port Vale,Man Utd,0.0,900000.0,Dan Gore
794816,2024-05-31,23/24,1098,9251,Stockport,Man Utd U21,0.0,,Rhys Bennett
802230,2024-05-31,23/24,3826,92433,St Albans City,Luton U21,0.0,,Aidan Francis-Clarke
817612,2024-05-31,23/24,6699,931,Exeter City,Fulham,0.0,1000000.0,Luke Harris
854689,2024-05-31,23/24,3054,39336,Shrewsbury,Brighton U21,0.0,150000.0,Jack Hinchy
859951,2024-05-31,23/24,2262,148,Plymouth,Tottenham,0.0,2200000.0,Ashley Phillips
874080,2024-05-31,23/24,289,9250,Sunderland,Chelsea U21,0.0,1800000.0,Mason Burstow
944551,2024-05-31,23/24,1198,1031,Lincoln City,Luton,0.0,350000.0,Joe Taylor
965954,2024-05-31,23/24,3826,92433,St Albans City,Luton U21,0.0,,Jake Burger
967346,2024-05-31,23/24,903,289,Hibernian FC,Sunderland,0.0,700000.0,Eliezer Mayenda
1088817,2024-05-31,23/24,2796,92433,Woking,Luton U21,0.0,,Jayden Luker
1089802,2024-05-31,23/24,26411,14648,Poole Town,Bournemouth U18,0.0,,Remy Rees-Dottin
994604,2024-05-14,23/24,2440,68031,D.C. United,Loudoun United,0.0,500000.0,Matai Akinmboni
854721,2024-04-30,23/24,3822,38967,Weymouth FC,Bournemouth U21,0.0,,Ben Winterburn
875235,2024-04-04,23/24,1220,6945,Carlisle United,Palace U21,0.0,150000.0,Seán Grehan
854721,2024-03-31,23/24,38967,3822,Bournemouth U21,Weymouth FC,0.0,,Ben Winterburn
1230661,2024-03-20,23/24,120959,54097,Rochdale Youth,Wolves Yth.,,,Mateus Mané
1005844,2024-03-16,23/24,12801,5679,Wolves U18,Arsenal U18,,,Brayden Clarke
490606,2024-02-29,23/24,631,1092,Chelsea,Brommapojkarna,0.0,800000.0,Lucas Bergström
909758,2024-02-23,23/24,1030,69261,Argentinos Jrs.,Miami,7450000.0,9000000.0,Federico Redondo
1072898,2024-02-21,23/24,987,8824,Motherwell FC,Sheff Utd U21,0.0,200000.0,Jili Buyabu
120095,2024-02-14,23/24,515,472,Without Club,UD Las Palmas,,2500000.0,José Campaña
76746,2024-02-09,23/24,3709,537,Getafe,Botafogo,0.0,1000000.0,Damián Suárez
912392,2024-02-09,23/24,2723,2433,Wanderers,Colo-Colo,1460000.0,375000.0,Lucas Cepeda
18644,2024-02-08,23/24,515,366,Without Club,Real Valladolid,,800000.0,Álvaro Negredo
141660,2024-02-08,23/24,515,6500,Without Club,FC Seoul,,6000000.0,Jesse Lingard
153238,2024-02-06,23/24,515,3302,Without Club,UD Almería,,1500000.0,Jonathan Viera
415970,2024-02-05,23/24,703,114,Nott'm Forest,Besiktas,0.0,12000000.0,Joe Worrall
127032,2024-02-02,23/24,703,141,Nottm Forest,Galatasaray,100000.0,7000000.0,Serge Aurier
743414,2024-02-02,23/24,405,2262,Aston Villa,Plymouth,0.0,2000000.0,Lino Sousa
945702,2024-02-02,23/24,60529,8494,Shabab Al-Ahli,RCD Mallorca B ,0.0,10000.0,Sebas Wade
1216529,2024-02-02,23/24,61118,8510,FE Grama,Getafe CF B,,,Guillem Trilla
18644,2024-02-01,23/24,2687,515,Cádiz CF,Without Club,,800000.0,Álvaro Negredo
